id,created_at,closed_at,cancelled_at,customer_id,financial_status,fulfillment_status,processed_at,total_price,shipping_rate,subtotal_price,total_discounts,total_line_items_price
7675398239,8/21/2016,8/25/2016,8/22/2016,8683754719,voided,,8/21/2016,44.57,6.33,35,0,35
7676331935,8/22/2016,8/22/2016,,8686224991,refunded,,8/22/2016,124.55,0,114,0,114
7676363167,8/22/2016,,8/22/2016,8686224991,voided,,8/22/2016,97.68,7,83,0,83
7676539359,8/22/2016,8/22/2016,,8686915935,paid,fulfilled,8/22/2016,131.1,0,120,0,120
7676549855,8/22/2016,8/22/2016,,8686924319,paid,fulfilled,8/22/2016,91.12,7,77,0,77
7676553055,8/22/2016,8/22/2016,,8687041311,paid,fulfilled,8/22/2016,75,7,68,0,68
7676564127,8/22/2016,8/22/2016,,8687317279,paid,fulfilled,8/22/2016,94.4,7,80,0,80
7676566815,8/22/2016,8/22/2016,,8687317407,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7676567711,8/22/2016,8/22/2016,,8687301023,partially_refunded,fulfilled,8/22/2016,97.68,7,83,0,83
7676582495,8/22/2016,8/22/2016,,8687334751,paid,fulfilled,8/22/2016,168,0,168,0,168
7676590623,8/22/2016,8/22/2016,,8687338847,paid,fulfilled,8/22/2016,56.16,7,45,0,45
7676594463,8/22/2016,8/22/2016,,8687175327,paid,fulfilled,8/22/2016,108.6,7,93,0,93
7676596255,8/22/2016,8/22/2016,,8687323487,refunded,fulfilled,8/22/2016,95.93,37.93,58,0,58
7676602079,8/22/2016,8/22/2016,,8687346591,paid,fulfilled,8/22/2016,114.71,0,105,0,105
7676610719,8/22/2016,8/22/2016,,8687351327,paid,fulfilled,8/22/2016,34.31,7,25,0,25
7676611039,8/22/2016,8/22/2016,,8687357279,refunded,fulfilled,8/22/2016,166.06,0,152,0,152
7676619167,8/22/2016,8/22/2016,,8687471135,refunded,fulfilled,8/22/2016,111.44,0,102,0,102
7676620191,8/22/2016,8/22/2016,,8687613151,paid,fulfilled,8/22/2016,45.24,7,35,0,35
7676629791,8/22/2016,8/22/2016,,8687626015,paid,fulfilled,8/22/2016,56.16,7,45,0,45
